date,AC-dt,AC-pt,AL-dt,AL-pt,AP-dt,AP-pt,AM-dt,AM-pt,BA-dt,BA-pt,CE-dt,CE-pt,DF-dt,DF-pt,ES-dt,ES-pt,GO-dt,GO-pt,MA-dt,MA-pt,MT-dt,MT-pt,MS-dt,MS-pt,MG-dt,MG-pt,PA-dt,PA-pt,PB-dt,PB-pt,PR-dt,PR-pt,PE-dt,PE-pt,PI-dt,PI-pt,RJ-dt,RJ-pt,RN-dt,RN-pt,RS-dt,RS-pt,RO-dt,RO-pt,RR-dt,RR-pt,SC-dt,SC-pt,SP-dt,SP-pt,SE-dt,SE-pt,TO-dt,TO-pt
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,0,6,,,,
2020-03-06,,,,,,,,,0,1,,,,,0,1,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,0,10,,,,
2020-03-07,,,,,,,,,0,2,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,0,13,,,,
2020-03-08,,,0,1,,,,,0,2,,,0,1,0,1,,,,,,,,,0,1,,,,,,,,,,,0,3,,,,,,,,,,,0,16,,,,
2020-03-09,,,0,1,,,,,0,2,,,0,1,0,1,,,,,,,,,0,1,,,,,,,,,,,0,3,,,,,,,,,,,0,16,,,,
2020-03-10,,,0,1,,,,,0,2,,,0,1,0,1,,,,,,,,,0,1,,,,,,,,,,,0,8,,,0,1,,,,,,,0,19,,,,
2020-03-11,,,0,1,,,,,0,3,,,0,2,0,1,,,,,,,,,0,1,,,,,,,,,,,0,13,,,0,2,,,,,,,0,30,,,,
2020-03-12,,,0,1,,,,,0,3,,,0,2,0,1,0,3,,,,,,,0,2,,,,,0,6,0,2,,,0,16,0,1,0,4,,,,,0,2,0,46,,,,
2020-03-13,,,0,1,,,0,2,0,7,,,0,2,0,1,0,3,,,,,,,0,2,,,,,0,6,0,2,,,0,16,0,1,0,4,,,,,0,3,0,56,,,,
