date,0-17-pt,0-17-dt,0-17-ht,18-49-pt,18-49-dt,18-49-ht,50-64-pt,50-64-dt,50-64-ht,65+-pt,65+-dt,65+-ht
2020-03-01
2020-03-02
2020-03-03
2020-03-04
2020-03-05
2020-03-06
2020-03-07
2020-03-08
2020-03-09
2020-03-10
2020-03-11
2020-03-12
2020-03-13
2020-03-14
2020-03-15
2020-03-16
2020-03-17
2020-03-18
2020-03-19
2020-03-20
2020-03-21
2020-03-22
2020-03-23
2020-03-24
2020-03-25
2020-03-26
2020-03-27
2020-03-28
2020-03-29
2020-03-30
2020-03-31
2020-04-01
2020-04-02,120,,26.7,5302,,1050.5,2879,,1301.0,2342,,1736.4
2020-04-03,137,,26.7,5917,,1050.5,3253,,1301.0,2660,,1736.4
2020-04-04,160,,26.7,6610,,1050.5,3653,,1301.0,2966,,1736.4
2020-04-05,173,,26.7,7099,,1050.5,3884,,1301.0,3129,,1736.4
2020-04-06,197,,35.5,7753,,1395.0,4344,,1708.0,3516,,2542.6
2020-04-07,222,,35.5,8289,,1395.0,4639,,1708.0,3751,,2542.6
2020-04-08,252,,35.5,8939,,1395.0,5003,,1708.0,4056,,2542.6
2020-04-09,269,,35.5,9469,,1395.0,5347,,1708.0,4335,,2542.6
2020-04-10,303,,35.5,10069,,1395.0,5633,,1708.0,4561,,2542.6
2020-04-11,330,,35.5,10599,,1395.0,5941,,1708.0,4870,,2542.6
2020-04-12,337,,35.5,10838,,1395.0,6079,,1708.0,5036,,2542.6
2020-04-13,362,,35.5,11246,,1722.2,6348,,2107.7,5320,,3206.2
2020-04-14,385,,35.5,11721,,1722.2,6644,,2107.7,5605,,3206.2
2020-04-15,432,,35.5,12479,,1722.2,7141,,2107.7,6051,,3206.2
2020-04-16,472,,35.5,13144,,1722.2,7488,,2107.7,6360,,3206.2
2020-04-17,507,,35.5,13798,,1722.2,7862,,2107.7,6729,,3206.2
2020-04-18,550,,35.5,14408,,1722.2,8232,,2107.7,7071,,3206.2
2020-04-19,573,,35.5,14690,,1722.2,8385,,2107.7,7267,,3206.2
2020-04-20,683,,62.2,15901,,1894.4,8961,,2325.8,7650,,3689.9
2020-04-21,768,,62.2,17009,,1894.4,9517,,2325.8,8035,,3689.9
2020-04-22,855,0.0,62.2,18004,99.0,1894.4,10025,223.0,2325.8,8401,1074.0,3689.9
2020-04-23,936,0.0,62.2,18954,107.0,1894.4,10451,234.0,2325.8,8832,1148.0,3689.9
2020-04-24,1011,0.0,62.2,19897,112.0,1894.4,10885,246.0,2325.8,9256,1215.0,3689.9
2020-04-25,1039,0.0,62.2,20379,117.0,1894.4,11139,254.0,2325.8,9512,1276.0,3689.9
2020-04-26,1085,0.0,62.2,21028,119.0,1894.4,11442,258.0,2325.8,9824,1299.0,3689.9
2020-04-27,1190,0.0,88.9,21888,120.0,2273.3,11781,265.0,2536.5,10086,1336.0,4049.6
2020-04-28,1263,0.0,88.9,22596,126.0,2273.3,12153,284.0,2536.5,10413,1399.0,4049.6
2020-04-29,1398,0.0,88.9,23836,131.0,2273.3,12705,292.0,2536.5,10906,1467.0,4049.6
2020-04-30,1449,0.0,88.9,24613,137.0,2273.3,13044,308.0,2536.5,11256,1543.0,4049.6
2020-05-01,1566,0.0,88.9,25548,139.0,2273.3,13454,322.0,2536.5,11547,1622.0,4049.6
2020-05-02,1640,0.0,88.9,26256,139.0,2273.3,13773,331.0,2536.5,11860,1668.0,4049.6
2020-05-03,1715,0.0,88.9,26956,139.0,2273.3,14078,335.0,2536.5,12098,1704.0,4049.6
2020-05-04,1773,0.0,115.5,27556,141.0,2686.6,14366,342.0,2827.3,12425,1738.0,4334.8
2020-05-05,1937,0.0,115.5,28968,145.0,2686.6,14974,353.0,2827.3,12842,1826.0,4334.8
2020-05-06,2055,0.0,115.5,29902,150.0,2686.6,15375,370.0,2827.3,13194,1891.0,4334.8
2020-05-07,2181,0.0,115.5,30860,153.0,2686.6,15793,386.0,2827.3,13580,1953.0,4334.8
2020-05-08,2260,0.0,115.5,32004,156.0,2686.6,16250,395.0,2827.3,13948,2024.0,4334.8
2020-05-09,2373,0.0,115.5,33190,162.0,2686.6,16729,405.0,2827.3,14290,2089.0,4334.8
2020-05-10,2444,0.0,115.5,33805,163.0,2686.6,17002,412.0,2827.3,14597,2115.0,4334.8
2020-05-11,2549,0.0,124.4,34573,167.0,3048.3,17322,418.0,3016.2,14845,2166.0,4626.3
2020-05-12,2672,0.0,124.4,35567,169.0,3048.3,17701,440.0,3016.2,15098,2236.0,4626.3
2020-05-13,2799,0.0,124.4,36602,176.0,3048.3,18154,445.0,3016.2,15498,2304.0,4626.3
2020-05-14,2951,0.0,124.4,37637,183.0,3048.3,18510,459.0,3016.2,15725,2386.0,4626.3
2020-05-15,3064,0.0,124.4,38611,185.0,3048.3,18908,468.0,3016.2,16101,2465.0,4626.3
2020-05-16,3225,0.0,124.4,39651,187.0,3048.3,19365,475.0,3016.2,16489,2516.0,4626.3
2020-05-17,,,124.4,,,3048.3,19703,481.0,3016.2,16727,2546.0,4626.3
2020-05-17,,,124.4,,,3048.3,19703,481.0,3016.2,16727,2546.0,4626.3
2020-05-18,3446,0.0,124.4,41321,190.0,3341.1,20003,483.0,3299.7,16920,2577.0,4930.2
2020-05-19,3657,0.0,124.4,42591,195.0,3341.1,20468,509.0,3299.7,17232,2670.0,4930.2
2020-05-20,3855,0.0,124.4,43749,198.0,3341.1,20967,522.0,3299.7,17513,2731.0,4930.2
2020-05-21,4049,0.0,124.4,44952,203.0,3341.1,21461,536.0,3299.7,17864,2805.0,4930.2
2020-05-22,4273,0.0,124.4,46131,203.0,3341.1,21938,544.0,3299.7,18164,2842.0,4930.2
2020-05-23,4462,0.0,124.4,47331,204.0,3341.1,22361,556.0,3299.7,18424,2885.0,4930.2
2020-05-24,4633,0.0,124.4,48364,206.0,3341.1,22754,560.0,3299.7,18670,2899.0,4930.2
2020-05-25,4872,0.0,133.3,49643,208.0,3702.7,23185,560.0,3554.1,18898,2911.0,5296.1
2020-05-26,5122,0.0,133.3,50981,210.0,3702.7,23633,564.0,3554.1,19095,2933.0,5296.1
2020-05-27,5371,0.0,133.3,52555,218.0,3702.7,24154,579.0,3554.1,19462,3019.0,5296.1
2020-05-28,5542,0.0,133.3,53795,222.0,3702.7,24617,599.0,3554.1,19773,3083.0,5296.1
2020-05-29,5861,0.0,133.3,55552,228.0,3702.7,25223,618.0,3554.1,20073,3139.0,5296.1
