Date,ABH,ABI,SKH,SKI,BCH,BCI,NSH,NSI,ONH,ONI,MBH,MBI,QCH,QCI,NBH,NBI,NLH,NLI,ONV,,,TotH,Hch,TotI,Ich
Mar 1,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 3,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 4,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 5,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 6,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 7,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 8,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 9,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 10,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 11,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 12,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 13,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 14,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 15,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 16,,,,,6,,,,,,,,2,0,,,,,,,,8,,0,
Mar 17,,,,,7,4,,,,,,,5,0,,,,,,,,12,4,4,4
Mar 18,6,3,,,13,7,,,,,,,6,4,,,,,,,,25,13,14,10
Mar 19,5,2,,,17,9,,,,,,,7,4,,,,,,,,29,4,15,1
Mar 20,10,5,,,22,10,,,,,,,10,6,,,,,,,,42,13,21,6
Mar 21,11,6,,,27,12,1,,,6,,,19,10,,,,,,,,58,16,34,13
Mar 22,18,7,,,27,12,1,,,9,,,24,13,,,,,,,,70,12,41,7
Mar 23,18,7,,,33,14,1,,,10,,,45,20,,,,,,,,97,27,51,10
Mar 24,19,7,,,59,23,1,,,9,,,67,31,,,,,,,,146,49,70,19
Mar 25,20,8,,,64,26,1,,,17,,,78,35,,,,,,,,163,17,86,16
Mar 26,21,10,5,2,66,26,2,,,29,,,106,43,,,,,,,,200,37,110,24
Mar 27,34,11,6,2,73,26,2,,60,43,,,141,50,,,1,0,,,,317,117,132,22
Mar 28,34,11,6,3,81,52,3,,118,63,,,164,57,,,1,0,,,,407,90,186,54
Mar 29,34,11,5,2,81,52,3,,176,92,,,192,72,,,7,2,,,,498,91,231,45
Mar 30,28,11,5,1,106,60,4,,234,100,4,1,235,78,,,9,2,,,,625,127,253,22
Mar 31,26,11,4,1,128,61,4,,291,125,3,2,286,82,1,,11,2,,,,754,129,284,31
Apr 1,29,13,4,1,142,67,5,,332,145,4,3,307,82,4,,15,3,,,,842,88,314,30
Apr 2,32,14,4,2,149,68,5,,405,167,5,4,365,96,4,1,11,4,112,,,980,138,356,42
Apr 3,39,15,3,1,146,64,5,,462,194,9,6,429,122,4,1,11,4,140,,,1108,128,407,51
Apr 4,42,14,4,1,149,68,4,,506,196,10,6,478,130,4,1,11,3,152,,,1208,100,419,12
Apr 5,48,13,4,2,149,68,6,,523,200,11,7,525,154,4,1,10,3,154,,,1280,72,448,29
Apr 6,48,13,4,2,140,72,10,,589,216,11,7,533,164,7,3,8,3,160,,,1350,70,480,32
Apr 7,42,15,7,2,138,66,11,,614,233,12,6,583,164,7,4,7,2,187,,,1421,71,492,12
Apr 8,44,16,8,2,135,61,11,,605,246,12,6,632,181,6,4,6,2,195,,,1459,38,518,26
Apr 9,47,14,8,2,132,68,10,4,632,264,11,5,679,196,5,4,6,2,214,,,1530,71,559,41
Apr 10,48,13,8,2,128,65,8,4,673,260,10,5,733,186,5,3,7,2,217,,,1620,90,540,-19
Apr 11,47,13,8,1,134,63,8,4,691,257,8,5,778,211,5,3,6,2,215,,,1685,65,559,19
Apr 12,44,14,7,0,134,63,9,4,738,261,8,4,824,217,7,3,7,3,196,,,1778,93,569,10
Apr 13,47,14,8,0,137,58,9,4,760,263,8,4,879,226,7,3,8,3,203,,,1863,85,575,6
Apr 14,44,14,7,0,134,58,10,4,769,255,9,4,936,230,5,3,8,3,199,,,1922,59,571,-4
Apr 15,44,14,8,0,131,59,9,4,795,254,9,4,984,218,5,3,8,3,188,,,1993,71,559,-12
Apr 16,44,14,7,0,120,56,11,4,807,248,8,4,1018,209,6,3,7,3,200,,,2028,35,541,-18
Apr 17,60,13,6,1,119,52,11,5,829,245,8,4,1076,207,5,3,7,3,200,,,2121,93,533,-8
Apr 18,57,14,5,1,115,54,11,5,828,250,7,4,1130,258,5,3,6,3,197,,,2164,43,592,59
Apr 19,65,16,4,1,115,54,11,4,809,247,8,5,1102,183,5,3,6,3,196,,,2125,-39,516,-76
Apr 20,63,15,4,1,104,49,12,4,802,247,8,5,1169,198,5,2,6,2,193,,,2173,48,523,7
Apr 21,64,18,5,1,109,51,11,3,859,250,7,4,1224,201,5,1,6,2,194,,,2290,117,531,8
Apr 22,70,18,5,1,103,46,10,3,878,243,7,3,1278,199,5,1,6,2,192,,,2362,72,516,-15
Apr 23,72,18,5,1,103,44,10,4,887,233,7,2,1411,207,5,1,6,2,185,,,2506,144,512,-4
Apr 24,76,18,5,2,96,41,11,3,910,243,7,3,1460,227,4,1,5,2,193,,,2574,68,540,28
Apr 25,77,20,4,2,96,41,11,3,925,245,7,2,1509,217,4,0,5,2,195,,,2638,64,532,-8
Apr 26,83,20,5,3,96,41,13,3,938,252,8,2,1518,215,4,0,5,2,195,,,2670,32,538,6
Apr 27,87,20,7,2,97,36,12,3,945,241,7,2,1541,210,3,0,5,2,191,,,2704,34,516,-22
Apr 28,87,20,7,2,97,36,12,3,957,239,7,2,1541,210,3,0,5,2,187,,,2716,12,514,-2
