Date,Cumulative Cases,Cases,Cumulative Deaths,Deaths,ON,ON C,BC,BC C,QC,QC C,AB,AB C,SK,SK C,NS,NS C,MB,MB C,NB,NB C,NL,NL C,PE,PE C,YT,YT C,NT,NT C,NU,NU C,ON,ON C,BC,BC C,QC,QC C,AB,AB C,SK,SK C,NS,NS C,MB,MB C,NB,NB C,NL,NL C,PE,PE C,YT,YT C,NT,NT C,NU,NU C,,Act,ActC
Mar 1,24,4,0,0,4,15,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,0
Mar 2,27,3,0,0,3,18,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,3
Mar 3,33,6,0,0,2,20,4,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,6
Mar 4,34,1,0,0,0,20,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,1
Mar 5,47,13,0,0,2,22,8,21,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39,12
Mar 6,54,7,0,0,6,28,0,21,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46,7
Mar 7,60,6,0,0,0,28,6,27,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52,6
Mar 8,66,6,0,0,3,31,0,27,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58,6
Mar 9,79,13,1,1,4,35,5,32,1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,69,11
Mar 10,96,17,1,0,1,36,7,39,2,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,86,17
Mar 11,118,22,1,0,6,42,7,46,2,9,5,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,108,22
Mar 12,158,40,1,0,17,59,7,53,8,17,4,23,1,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,148,40
Mar 13,198,40,1,0,20,79,11,64,0,17,6,29,1,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,187,39
Mar 14,257,59,1,0,24,103,9,73,7,24,10,39,4,6,0,0,0,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,246,59
Mar 15,341,84,1,0,42,145,0,73,15,39,17,56,0,6,3,3,3,7,4,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,330,84
Mar 16,441,100,4,3,32,177,30,103,11,50,18,74,1,7,2,5,1,8,1,7,0,1,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,427,97
Mar 17,597,156,8,4,12,189,83,186,24,74,23,97,1,8,2,7,7,15,1,8,2,3,0,1,0,0,0,0,0,0,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,579,152
Mar 18,727,130,9,1,25,214,45,231,20,94,22,119,8,16,5,12,2,17,3,11,0,3,0,1,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,707,128
