date,AT-hd,BE-hd,BG-hd,HR-hd,CY-hd,CZ-hd,DK-hd,EE-hd,FI-hd,FR-hd,DE-hd,GR-hd,HU-hd,IS-hd,IE-hd,IT-hd,LV-hd,LI-hd,LT-hd,LU-hd,MT-hd,NL-hd,NO-hd,PL-hd,PT-hd,RO-hd,SK-hd,SI-hd,ES-hd,SE-hd,CH-hd,GB-hd
2020-03-01,,0,,0,3,0,1,3,,0,458,12,,1,64,1026,0,0,10,,3,77,1,47,105,23,34,0,1178,,9,5
2020-03-02,,,,,,0,0,0,,,38,2,,,11,1027,0,,1,,0,10,0,5,9,1,,3,136,,3,12
2020-03-03,,,,,,0,1,0,,,40,1,,,7,1027,0,,2,,0,8,0,2,10,28,,3,159,,2,13
2020-03-04,,,,,1,0,0,0,,,53,7,,,,1027,0,,,,0,10,0,3,14,16,,3,169,,1,10
2020-03-05,,,,,,0,1,0,,,61,4,,,6,1027,0,,2,,0,11,0,4,13,7,1,3,239,,1,20
2020-03-06,,,,,,0,4,0,,,55,3,,,9,1027,0,,1,,0,21,1,7,17,10,1,3,259,,2,24
2020-03-07,,,,,,0,0,0,,,47,5,,,6,1027,0,,,,0,7,0,7,12,3,3,3,290,,0,10
2020-03-08,,,,,,0,3,0,,,47,8,,,4,1874,0,,,,0,18,1,4,11,5,2,3,330,,6,11
2020-03-09,,,,,,1,9,0,,,123,6,,,19,1875,1,,1,,1,28,3,7,19,8,,7,558,,2,19
2020-03-10,,,,,1,1,15,1,,,124,11,,,18,1875,1,,4,,1,28,7,18,22,11,1,0,690,,6,33
2020-03-11,,,,,3,1,10,0,,,125,8,,,13,1875,1,,1,,1,44,8,18,24,16,5,2,884,,6,32
2020-03-12,,,,,1,1,18,0,,,117,6,,,16,1875,1,,6,,1,54,4,22,28,23,3,4,1049,,12,27
2020-03-13,,,,,1,1,26,1,,,168,13,,,12,1875,1,,2,,1,76,9,23,30,30,7,9,1138,,11,27
2020-03-14,,,,,2,1,24,1,,,121,10,,,16,1875,1,,3,,1,61,11,24,29,29,4,8,1234,,17,23
2020-03-15,,70,,,,1,33,1,,,137,12,,,14,2643,1,,5,,1,69,8,29,28,23,4,4,1366,,23,18
2020-03-16,,88,,,2,17,45,3,,,265,14,,,17,2643,2,,2,,1,142,19,33,41,27,11,1,2115,,28,36
2020-03-17,,125,,,2,17,47,4,,,273,20,,,28,2643,2,,11,,1,145,19,20,44,60,3,11,2425,,20,47
2020-03-18,,179,,,2,17,47,4,,,290,30,,,26,2643,2,,11,,1,177,24,40,55,41,5,9,3088,,32,51
2020-03-19,,213,,,7,17,50,7,,2229,386,25,,,37,2644,2,,12,,1,261,38,35,63,48,3,7,3347,,52,633
2020-03-20,,294,,,5,17,64,7,,1256,427,20,,,45,2644,2,,10,,1,241,32,53,52,54,4,3,3910,,46,776
2020-03-21,,322,,,2,17,34,3,,1540,353,34,,,43,2644,2,,16,,1,204,28,45,99,73,2,8,3491,,57,855
2020-03-22,,278,,,3,17,42,6,,1534,352,32,,,31,2201,2,,28,,1,236,28,45,90,82,7,2,3327,,59,921
2020-03-23,,268,,,7,,85,10,,2053,669,45,,,58,2201,4,,14,,1,454,43,80,92,101,3,8,4932,,40,1274
2020-03-24,,420,,,7,,81,4,,2618,611,48,,,53,2201,4,,12,,1,428,46,65,89,85,4,14,5303,,55,1718
2020-03-25,,543,,,6,,92,9,,3166,646,43,,,46,2202,4,,12,,1,442,60,75,114,98,3,10,5192,,50,2085
2020-03-26,,494,,,6,,82,9,,3097,738,45,,,56,2202,4,,8,,1,443,45,80,123,97,5,7,5028,,64,1930
2020-03-27,,587,,,13,,89,14,,3059,754,61,,,47,2202,4,,21,,1,562,36,98,113,118,6,23,4799,,65,2229
2020-03-28,,642,,,6,,82,13,,3353,562,31,,,46,2202,4,,5,,1,303,34,81,97,183,3,7,3387,,66,2192
2020-03-29,,545,,,8,,52,16,,2685,502,42,,,25,1352,4,,13,,1,258,24,87,84,158,1,8,2653,,61,2489
2020-03-30,,486,,,4,,69,14,,3108,854,31,,,43,1352,4,,5,,1,442,33,91,112,186,1,11,3926,,74,3192
2020-03-31,,550,,,9,,51,12,,4146,641,26,,,44,1353,4,,10,,1,309,38,99,114,179,4,3,3342,,51,2832
2020-04-01,,599,,,3,,60,8,,4281,669,24,,,46,1353,4,,7,,1,316,27,115,106,168,5,7,3189,,49,3567
2020-04-02,,572,,,8,,0,9,,3845,639,21,,,,1353,4,,11,,1,350,37,86,107,160,4,6,2840,,55,3286
2020-04-03,,502,,,6,,50,33,,3627,632,24,,,92,1353,4,,15,,1,339,21,93,76,175,4,10,2745,,43,2930
2020-04-04,,502,,,5,,57,19,,2822,404,28,,,84,1353,4,,10,,1,187,27,87,100,145,3,6,1949,,38,2922
2020-04-05,,360,,,2,,39,5,,1931,335,17,,,82,931,4,,7,,1,230,14,60,79,186,1,9,1523,,27,2916
2020-04-06,,324,,,3,83,38,6,,2754,570,11,,,56,931,,,4,,2,329,19,84,83,188,4,8,2254,,40,3046
2020-04-07,,475,,,4,83,51,13,,3277,492,24,,,68,931,,,5,,2,204,14,82,94,190,4,13,2188,,35,3150
2020-04-08,,464,,,4,83,44,8,,3139,495,23,,,83,931,,,5,,2,209,22,79,65,186,3,9,1975,,44,2967
2020-04-09,,467,,,3,83,42,11,,2990,477,15,,,103,931,,,6,,2,188,10,97,60,190,5,6,1626,,26,2629
2020-04-10,,431,,,3,83,30,7,,3161,374,13,,,57,932,,,6,,2,205,6,88,68,211,6,8,1450,,25,2463
2020-04-11,,392,,,1,83,45,11,,2044,349,16,,,65,932,,,5,,2,133,11,48,52,135,4,6,1198,,20,2163
2020-04-12,,277,,,2,83,29,8,,1688,291,5,,,60,664,,,2,,2,137,9,45,50,137,2,6,928,,16,2067
2020-04-13,,244,,,2,74,24,8,,1257,291,20,,,47,664,3,,3,,0,167,10,47,62,133,13,3,1174,,22,2162
2020-04-14,,253,,,4,74,30,6,,1965,412,8,,,41,664,3,,3,,0,162,11,96,68,168,8,9,1324,,14,2088
2020-04-15,,317,,8,,74,40,4,,2415,360,10,,,71,664,3,,11,,0,119,12,77,50,171,12,7,1033,,22,1880
2020-04-16,,313,,22,3,74,33,5,,2084,362,8,,,52,664,3,,9,,0,118,4,59,49,149,6,12,1051,,10,2011
2020-04-17,,306,,28,1,74,26,11,,2166,335,5,,,52,664,3,,7,,0,139,15,104,55,173,9,6,928,,13,1967
2020-04-18,,265,,4,1,74,23,4,,1565,217,4,,,48,665,3,,5,,0,80,9,104,45,177,6,7,616,,9,1629
2020-04-19,,227,,10,,74,21,4,,890,179,3,,,37,536,3,,2,,0,83,5,56,42,124,3,1,559,,5,1657
2020-04-20,,184,,9,1,68,38,2,,1464,297,7,,,46,536,2,,8,,0,113,5,59,50,122,4,0,733,,13,1734
2020-04-21,,262,,10,2,68,35,4,,1885,256,11,,,38,537,2,,5,,0,118,4,61,33,179,6,3,741,,6,1712
2020-04-22,,216,,22,1,68,29,6,,1619,238,8,,,45,537,2,,2,,0,91,8,94,46,211,5,5,546,,15,1529
2020-04-23,,204,,23,1,68,33,3,,1410,240,19,,,58,537,2,,4,,0,95,5,78,39,207,4,4,515,,9,1514
2020-04-24,,221,,24,1,68,30,5,,1346,235,13,,,46,537,2,,5,,0,79,8,60,42,165,2,3,560,,8,1525
2020-04-25,,203,,7,,68,28,1,,999,138,7,,,37,537,2,,1,,0,43,4,76,30,184,1,4,346,,8,1253
2020-04-26,,130,,7,,68,17,1,,481,116,2,,,35,330,2,,3,,0,43,6,39,33,209,,5,261,,4,1355
2020-04-27,,129,,2,2,53,30,4,,964,210,4,,,33,331,1,,3,,0,61,2,127,34,166,3,1,481,,5,1538
2020-04-28,,165,,6,2,53,20,3,,1321,195,12,,,51,331,1,,1,,0,91,7,50,13,176,1,2,397,,3,1518
2020-04-29,,185,,3,1,53,15,0,,1070,150,4,,,45,331,1,,6,,0,59,0,45,28,167,,7,345,,4,1488
2020-04-30,,153,,4,,53,13,2,,1048,161,5,,,41,331,1,,1,,0,63,2,27,42,140,1,1,364,,8,1442
2020-05-01,,134,,6,,53,22,8,,668,92,6,,,51,331,1,,1,,0,53,2,40,28,138,,1,240,,3,1263
2020-05-02,,82,,3,,53,13,6,,453,100,2,,,27,331,1,,,,0,27,2,38,35,128,,3,213,,2,1181
2020-05-03,,62,,0,1,53,24,2,,345,93,5,,,13,245,1,,3,,0,37,1,43,14,125,,3,192,,4,1188
2020-05-04,,92,,2,1,41,16,1,,689,158,4,,,22,245,1,,1,,0,59,2,46,32,110,,2,328,,5,1249
2020-05-05,,123,,5,3,41,12,0,,987,130,9,,,13,245,1,,1,,0,28,3,50,27,106,,2,294,,4,1146
2020-05-06,,101,,4,,41,11,1,,833,110,10,,,35,245,1,,1,,0,60,4,58,23,108,,1,285,,2,1206
2020-05-07,,122,,3,,41,15,2,,728,101,10,,,24,246,1,,4,,0,46,2,44,19,109,,0,254,,2,1166
2020-05-08,,79,,11,,41,18,0,,510,120,3,,,28,246,1,,4,,0,56,4,31,23,97,,1,225,,5,910
