date,AT-pt,AT-dt,BE-pt,BE-dt,BG-pt,BG-dt,HR-pt,HR-dt,CY-pt,CY-dt,CZ-pt,CZ-dt,DK-pt,DK-dt,EE-pt,EE-dt,FI-pt,FI-dt,FR-pt,FR-dt,DE-pt,DE-dt,GR-pt,GR-dt,HU-pt,HU-dt,IS-pt,IS-dt,IE-pt,IE-dt,IT-pt,IT-dt,LV-pt,LV-dt,LI-pt,LI-dt,LT-pt,LT-dt,LU-pt,LU-dt,MT-pt,MT-dt,NL-pt,NL-dt,NO-pt,NO-dt,PL-pt,PL-dt,PT-pt,PT-dt,RO-pt,RO-dt,SK-pt,SK-dt,SI-pt,SI-dt,ES-pt,ES-dt,SE-pt,SE-dt,CH-pt,CH-dt,GB-pt,GB-dt
2020-03-01,7,0,2,0,0,0,7,0,0,0,3,0,4,0,1,0,9,0,130,2,117,0,7,0,0,0,3,0,1,0,1694,34,0,0,0,0,0,0,1,0,0,0,18,0,19,0,0,0,0,0,3,0,0,0,0,0,84,0,14,0,27,0,94,3
2020-03-02,8,0,8,0,0,0,7,0,0,0,3,0,4,0,1,0,10,0,191,3,150,0,7,0,0,0,6,0,1,0,2036,52,1,0,0,0,0,0,1,0,0,0,24,0,25,0,0,0,2,0,3,0,0,0,0,0,120,0,19,0,42,0,134,4
2020-03-03,12,0,13,0,0,0,9,0,0,0,5,0,6,0,2,0,10,0,212,4,188,0,7,0,0,0,11,0,2,0,2502,79,1,0,0,0,0,0,1,0,0,0,38,0,32,0,0,0,2,0,3,0,0,0,0,0,165,1,32,0,56,0,189,4
2020-03-04,17,0,23,0,0,0,10,0,0,0,8,0,10,0,2,0,14,0,285,4,240,0,9,0,2,0,26,0,6,0,3089,107,1,0,1,0,0,0,1,0,0,0,82,0,56,0,1,0,5,0,4,0,0,0,0,0,222,2,62,0,90,0,245,5
2020-03-05,23,0,50,0,0,0,10,0,0,0,12,0,10,0,3,0,20,0,423,7,349,0,31,0,2,0,34,0,6,0,3858,148,1,0,1,0,0,0,1,0,0,0,128,0,87,0,1,0,8,0,6,0,0,0,2,0,259,3,87,0,114,0,294,7
2020-03-06,37,0,109,0,0,0,11,0,0,0,18,0,23,0,10,0,21,0,613,9,534,0,45,0,2,0,43,0,18,0,4636,197,1,0,1,0,0,0,2,0,0,0,188,1,108,0,5,0,13,0,9,0,1,0,7,0,400,5,146,0,214,1,373,9
2020-03-07,46,0,169,0,0,0,12,0,0,0,19,0,23,0,10,0,28,1,938,16,684,0,46,0,4,0,50,0,18,0,5883,233,1,0,1,0,0,0,2,0,3,0,265,1,147,0,5,0,20,0,9,0,1,0,7,0,500,10,179,0,268,1,428,9
2020-03-08,75,0,200,0,4,0,12,0,0,0,31,0,35,0,10,0,35,1,1115,19,847,0,73,0,7,0,50,0,19,0,7375,366,2,0,1,0,0,0,3,0,3,0,321,3,176,0,11,0,30,0,15,0,3,0,16,0,673,17,225,0,337,2,482,11
2020-03-09,98,0,239,0,4,0,12,0,0,0,31,0,90,0,10,0,44,1,1401,25,1112,2,73,0,9,0,58,0,21,0,9172,463,6,0,1,0,0,0,3,0,3,0,382,3,205,0,16,0,30,0,15,0,5,0,16,0,1073,28,326,0,374,2,629,16
2020-03-10,126,0,267,0,4,0,14,0,2,0,41,0,262,0,12,0,61,1,1773,33,1296,2,89,0,9,0,69,0,34,0,10149,631,8,0,1,0,0,0,5,0,5,0,503,4,400,0,22,0,41,0,25,0,7,0,31,0,1695,35,424,1,491,5,887,19
2020-03-11,148,0,314,3,7,1,19,0,2,0,91,0,442,0,16,0,115,1,2281,48,1567,3,99,1,13,0,85,0,43,1,12462,827,10,0,3,0,0,0,7,0,6,0,603,5,598,0,31,0,59,0,45,0,7,0,57,0,2277,54,620,1,652,7,1298,26
2020-03-12,203,0,314,3,7,1,19,0,6,0,94,0,615,0,16,0,191,1,2281,48,2369,5,99,1,13,0,103,0,43,1,15113,1016,10,0,4,0,0,0,19,0,6,0,804,5,702,0,49,1,59,0,49,0,10,0,89,0,2277,55,771,2,652,10,1787,39
2020-03-13,312,0,559,3,23,1,32,0,6,0,141,0,801,0,79,0,251,1,3661,79,3062,5,190,1,19,0,134,0,90,1,17660,1266,17,0,5,0,0,0,34,0,12,0,959,10,996,0,68,2,112,0,89,0,21,0,141,0,5232,133,923,3,1139,11,2266,55
2020-03-14,409,1,689,4,41,2,38,0,14,0,189,0,827,1,115,0,279,2,4469,91,3795,8,228,3,30,0,156,0,129,2,21157,1441,26,0,7,0,0,0,51,1,18,0,1135,12,1090,3,103,3,169,0,123,0,32,0,181,1,6391,195,994,5,1359,14,2630,76
2020-03-15,591,1,886,4,51,2,49,0,21,0,253,0,864,2,171,0,308,3,4499,91,4838,12,331,4,32,1,171,5,129,2,24747,1809,30,0,11,0,0,0,59,1,21,0,1413,20,1221,3,119,3,245,0,131,0,44,0,219,1,7798,289,1063,7,2200,22,3072,107
2020-03-16,801,2,1058,5,52,2,57,0,30,0,298,0,914,3,205,0,361,3,6633,148,6012,12,331,4,39,1,180,0,169,2,27980,2158,34,0,14,0,0,0,77,1,30,0,1705,24,1333,3,177,4,331,0,158,0,61,0,253,1,9942,342,1146,8,2200,33,3684,158
2020-03-17,999,3,1243,10,67,2,65,0,40,0,396,0,977,4,225,0,413,4,7652,148,7156,12,387,5,50,1,220,1,223,2,31506,2503,49,0,19,0,0,0,140,1,38,0,2051,43,1463,3,238,5,448,1,184,0,72,0,275,1,11748,533,1265,14,2700,40,4452,216
2020-03-18,1225,5,1486,14,92,2,81,0,40,0,464,0,1057,4,258,0,460,6,9043,148,8198,12,418,5,58,1,250,1,292,2,35713,2978,71,0,25,0,0,0,203,2,38,0,2460,58,1550,6,251,5,448,2,260,0,96,1,275,1,13910,623,1410,21,3028,48,5451,289
2020-03-19,1571,7,1795,21,94,3,105,1,58,0,694,0,1151,6,267,0,550,6,10871,243,10999,20,418,6,73,1,330,1,557,3,41035,3405,86,0,34,0,1,0,335,4,53,0,2994,76,1746,7,355,5,785,3,277,0,104,1,286,1,17963,830,1553,30,4075,58,6506,368
2020-03-20,1943,12,2257,37,127,3,128,1,58,0,833,0,1255,9,283,0,649,7,12612,450,13957,31,495,8,85,3,409,0,683,3,47021,4032,111,0,36,0,1,0,484,4,64,0,3631,106,1914,7,425,5,1020,6,308,0,123,1,341,1,20410,1043,1733,38,5294,78,7760,486
2020-03-21,2398,15,2815,67,163,3,206,1,67,0,995,0,1326,13,306,0,736,8,14282,562,16662,47,530,13,103,4,473,1,785,3,53578,4825,124,0,44,0,7,0,670,8,73,0,4204,136,2118,7,536,5,1280,12,367,0,137,1,383,1,25374,1375,1868,49,6575,98,8957,630
2020-03-22,2909,20,3401,75,187,3,254,1,84,0,1120,1,1395,13,326,0,823,10,16533,674,18610,55,624,15,131,6,568,1,906,4,59138,5476,139,0,46,0,44,0,798,8,90,0,4749,179,2385,7,634,7,1600,14,433,3,178,0,414,2,28768,1772,1986,60,7474,113,10333,813
2020-03-23,3455,26,3743,88,201,3,315,1,95,0,1236,1,1450,24,352,0,901,11,19856,860,22672,86,695,17,167,7,588,1,1125,6,63927,6077,180,0,48,0,58,0,875,8,107,0,5560,213,2621,10,749,8,2060,23,576,7,185,0,442,3,35136,2311,2168,81,8795,141,12668,1021
2020-03-24,4073,34,4269,122,218,3,382,1,116,0,1394,3,1591,32,369,0,985,15,22054,1100,27436,114,743,20,187,9,648,2,1329,7,69176,6820,197,0,51,0,88,1,1099,8,110,0,6412,276,2863,12,901,10,2362,33,794,11,204,0,480,4,39885,2808,2398,103,9877,161,15039,1284
2020-03-25,4760,46,4937,178,242,3,442,1,124,3,1654,6,1724,34,404,1,1084,16,24967,1331,31554,149,835,22,226,10,737,2,1564,9,74386,7503,221,0,53,0,112,2,1333,8,129,0,7431,356,3084,14,1051,14,2995,43,906,17,216,0,528,5,49515,3647,2712,134,10897,196,17732,1621
2020-03-26,5483,56,6235,220,264,3,495,3,132,3,1925,9,1877,41,538,1,1188,21,28856,1695,36508,198,835,22,261,10,802,2,1819,19,80589,8215,244,0,57,0,167,3,1453,9,134,0,8603,434,3369,14,1221,16,3544,60,1029,23,226,0,562,6,57786,4365,2998,166,11811,238,20816,2034
2020-03-27,6237,65,7284,289,293,3,586,3,146,3,2279,9,2046,52,575,1,1301,25,32609,1994,42288,253,835,22,300,10,890,2,2121,22,86498,9134,280,0,61,0,183,4,1605,15,139,0,9762,546,3755,19,1389,16,4268,76,1292,26,269,0,632,9,65719,5138,3363,201,12928,273,24017,2497
2020-03-28,7293,81,9134,353,331,7,657,5,162,5,2631,11,2201,65,645,1,1396,27,37162,2311,48582,325,835,22,343,11,963,2,2415,36,92472,10023,305,0,62,0,227,4,1831,18,149,0,10866,639,4015,23,1638,18,5170,100,1452,37,292,0,684,9,73235,5982,3663,239,14076,329,26839,3013
2020-03-29,8100,101,10836,431,346,8,713,6,179,5,2817,16,2395,72,679,3,1473,31,39761,2603,52547,389,1156,38,408,13,1020,2,2615,46,97689,10779,347,0,63,0,263,4,1950,21,151,0,11750,771,4284,25,1862,22,5962,119,1815,43,314,0,730,11,80110,6803,3943,284,14829,376,29696,3599
2020-03-30,8717,120,11899,513,359,8,790,6,214,6,3001,23,2577,77,715,3,1543,41,44029,3020,57298,455,1156,38,447,15,1086,2,2910,54,101739,11591,376,0,65,0,280,4,1988,22,156,0,12595,864,4445,32,2055,31,6408,140,2109,65,336,0,756,11,87956,7716,4359,332,15922,434,33969,4310
2020-03-31,9264,134,12775,705,399,8,867,6,230,7,3308,31,2860,90,745,4,1672,51,51579,3517,61913,583,1156,38,492,16,1135,2,3235,71,105792,12428,398,0,69,0,353,4,2178,23,169,0,13614,1039,4641,39,2311,33,7443,160,2245,82,363,0,802,15,95923,8464,4834,385,16605,485,38484,5141
2020-04-01,9937,155,13964,828,422,10,963,6,262,8,3508,39,3107,104,779,5,1797,58,56362,4767,67366,732,1156,38,525,20,1220,2,3447,85,110574,13155,446,0,73,0,397,6,2319,29,188,0,14697,1173,4863,44,2554,43,8251,187,2460,92,400,1,841,15,104118,9387,5320,455,17768,546,43398,6065
2020-04-02,10486,174,15348,1011,457,10,1011,7,320,9,3858,44,3386,123,858,11,1946,62,58404,5376,73522,872,1156,38,585,21,1319,4,3849,98,115242,13915,458,0,76,0,470,6,2487,30,196,0,15723,1339,5147,50,2946,57,9034,209,2738,115,426,1,897,17,112065,10348,5874,535,18827,605,48263,7072
2020-04-03,11035,185,16770,1143,485,14,1079,8,356,9,4091,53,3757,139,961,12,2107,68,63588,6496,79696,1017,1613,59,623,26,1364,4,4273,120,119827,14681,493,1,78,0,528,6,2612,31,202,0,16627,1487,5370,59,3383,71,9886,246,3183,133,450,1,934,20,119199,11198,6475,605,19606,660,53178,8133
2020-04-04,11473,205,18431,1283,503,17,1126,12,396,9,4472,59,4077,161,1039,13,2306,73,46483,7548,85778,1158,1673,68,678,32,1417,4,4604,137,124632,15362,509,1,78,1,571,7,2729,31,213,0,17851,1651,5550,62,3627,79,10524,266,3613,146,471,1,977,22,126168,11947,6832,373,20505,719,57198,9280
2020-04-05,11884,223,19691,1447,531,20,1182,15,426,9,4587,67,4369,179,1097,15,2387,80,47299,8066,91714,1342,1735,73,733,34,1486,4,4994,158,128948,15887,533,1,78,1,617,8,2804,36,227,0,18803,1766,5687,71,4102,94,11278,295,3864,151,485,1,997,28,131646,12641,7172,401,21100,771,60792,10500
2020-04-06,12137,243,20814,1632,549,22,1222,16,446,9,4822,78,4681,187,1108,19,2509,84,49934,8899,95391,1434,1755,79,744,38,1562,6,5364,174,132547,16523,542,1,78,1,648,10,2843,41,241,0,19580,1867,5865,76,4413,107,11730,311,4057,176,534,2,1021,30,136675,13341,7561,477,21657,823,66067,11670
2020-04-07,12320,265,22194,2035,577,23,1282,18,465,9,5017,88,5071,203,1149,21,2718,94,46400,10315,99225,1607,1832,81,817,47,1586,6,5709,210,135586,17127,548,2,79,1,688,11,2970,44,293,0,20549,2101,6086,89,4848,129,12442,345,4417,197,581,2,1059,36,141942,14045,8299,591,22253,882,71517,12963
2020-04-08,12626,296,23403,2240,593,24,1343,19,494,9,5312,99,5402,218,1185,24,2918,111,50242,10856,103228,1861,1884,83,895,58,1616,6,6074,235,139422,17669,577,2,79,1,721,11,3034,46,299,1,21762,2248,6086,101,5205,159,13141,380,4761,220,682,2,1091,40,148220,14792,8954,687,23280,946,76646,14424
2020-04-09,12915,325,24983,2523,618,24,1407,20,526,9,5569,112,5635,237,1207,24,3056,119,54003,12196,108202,2107,1955,86,980,66,1648,6,6574,263,143626,18279,589,3,80,1,771,11,3115,52,337,2,23097,2396,6211,108,5575,174,13956,409,5202,248,701,2,1124,43,153222,15447,9599,793,24051,991,81498,15799
2020-04-10,13205,342,26667,3019,635,25,1495,21,564,10,5732,119,5819,247,1258,24,3214,130,55538,13181,113525,2373,2009,90,1190,77,1675,7,8089,287,147577,18849,612,3,80,1,809,12,3223,54,350,2,24413,2511,6314,113,5955,181,15472,435,5467,270,715,2,1160,45,158273,16081,10053,870,24551,1046,85813,17118
