Date,bw-p,by-p,be-p,bb-p,hb-p,hh-p,he-p,ni-p,mv-p,nw-p,rp-p,sl-p,sn-p,st-p,sh-p,th-p,bw-d,by-d,be-d,bb-d,hb-d,hh-d,he-d,ni-d,mv-d,nw-d,rp-d,sl-d,sn-d,st-d,sh-d,th-d
01-Mar,15,19,0,0,1,1,8,1,0,66,2,0,0,0,2,0,,,,,,,,,,,,,,,,
02-Mar,19,25,1,0,1,1,10,1,0,86,2,0,0,0,2,0,,,,,,,,,,,,,,,,
03-Mar,26,35,3,1,1,2,10,1,0,101,2,0,1,0,2,1,,,,,,,,,,,,,,,,
04-Mar,44,48,6,1,2,2,12,4,3,111,2,1,1,0,2,1,,,,,,,,,,,,,,,,
05-Mar,65,52,9,1,3,8,14,10,4,175,7,1,1,0,3,1,,,,,,,,,,,,,,,,
06-Mar,91,79,15,1,3,8,15,18,5,281,8,1,1,0,7,1,,,,,,,,,,,,,,,,
07-Mar,116,117,24,2,4,12,16,19,5,346,10,2,2,0,8,1,,,,,,,,,,,,,,,,
08-Mar,182,148,28,2,4,13,17,21,7,392,15,4,4,0,8,2,,,,,,,,,,,,,,,,
09-Mar,199,256,40,6,4,17,20,33,8,484,19,5,10,0,9,2,,,,,,,,,,2,,,,,,
10-Mar,237,314,48,9,4,29,35,49,13,648,25,7,22,7,9,4,,,,,,,,,,2,,,,,,
11-Mar,277,366,90,24,21,48,48,75,17,801,25,14,26,15,27,10,,,,,,,,,,3,,,,,,
12-Mar,454,500,137,30,38,88,99,129,23,688,52,14,45,27,31,14,1,1,,,,,,,,3,,,,,,
13-Mar,454,558,174,44,42,99,148,230,33,936,102,40,83,42,48,29,1,1,,,,,,,,3,,,,,,
14-Mar,569,681,216,61,50,158,203,253,45,1154,121,40,93,45,60,46,2,1,,,,,,,,5,,,,,,
15-Mar,827,886,283,84,53,162,286,287,50,1407,168,32,130,47,103,51,3,4,,,,,,,,5,,,,,,
16-Mar,1105,1067,300,94,56,260,342,391,51,1541,325,85,140,77,123,55,3,5,,,,,,,,5,,,,,,
17-Mar,1479,1109,345,73,57,310,373,325,45,2105,442,75,182,58,127,51,2,4,,,,,,,,6,,,,,,
18-Mar,1609,1243,391,92,69,358,432,478,56,2372,474,88,198,105,159,74,2,4,,,,,,,,6,,,,,,
19-Mar,2155,1692,573,134,80,432,682,669,98,3033,637,99,275,140,202,98,6,8,,,,,,,,6,,,,,,
20-Mar,2746,2401,731,192,121,586,813,803,131,3497,801,146,394,180,266,149,10,12,,,,,1,,,6,1,,,,1,
21-Mar,3668,2960,866,254,142,587,1080,1023,165,3542,938,187,567,188,308,187,16,19,1,,,,2,,,6,1,,,,1,
22-Mar,3807,3650,1024,274,165,872,1175,1306,172,3545,1053,187,606,211,347,216,21,21,1,,,,2,1,,6,2,,,,1,
23-Mar,3811,4892,1077,288,170,943,1347,1483,172,5615,1177,200,653,212,383,249,21,26,1,,,,3,4,,28,2,,,,1,
24-Mar,5348,5754,1220,343,183,1043,1620,1764,199,6318,1370,337,811,321,478,327,30,30,1,,,,4,6,,33,5,1,1,,2,1
25-Mar,6069,6558,1428,429,200,1262,1754,2140,218,7197,1591,403,959,375,577,394,37,37,2,1,,,4,7,,43,5,2,6,,3,1
