date,19-pt,19-qt,19-dt,20-pt,20-qt,20-dt,30-pt,30-qt,30-dt,40-pt,40-qt,40-dt,50-pt,50-qt,50-dt,60-pt,60-dt,70-pt,70-dt,80-pt,80-dt,xx-pt,xx-dt,il-pt,il-dt
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,11,0,0,35,0,0,28,0,0,17,0,0,17,0,0,15,0,8,0,0,0,0,0,131,0
2020-03-16,22,0,0,70,0,0,56,0,0,34,0,0,34,0,0,30,0,16,0,0,0,0,0,262,0
2020-03-17,33,0,0,105,0,0,83,0,0,51,0,0,51,0,0,45,0,23,0,0,0,0,0,391,0
2020-03-18,44,0,0,140,0,0,110,0,0,68,0,0,67,0,0,60,0,30,0,0,0,0,0,519,0
2020-03-19,55,0,0,174,0,0,137,0,0,85,0,0,83,0,0,75,0,37,0,0,0,0,0,646,0
2020-03-20,66,0,0,208,0,0,164,0,0,102,0,0,99,0,0,89,0,44,0,0,0,0,0,772,0
2020-03-21,77,0,0,242,0,0,191,0,0,119,0,0,115,0,0,103,0,51,0,0,0,0,0,898,0
2020-03-22,128,0,0,338,0,0,256,0,0,174,0,0,179,0,0,154,0,76,0,11,0,4,0,1320,0
2020-03-23,179,0,0,433,0,0,321,0,0,229,0,0,243,0,0,205,0,101,0,21,0,8,0,1740,0
2020-03-24,230,0,0,528,0,0,386,0,0,284,0,0,307,0,0,256,0,126,0,31,0,12,0,2160,0
2020-03-25,281,0,0,623,0,0,451,0,0,339,0,0,370,0,0,307,0,151,0,41,0,16,0,2579,0
2020-03-26,332,0,0,718,0,0,516,0,0,393,0,0,433,0,0,358,0,176,0,51,0,20,0,2997,0
2020-03-27,382,0,0,813,0,0,581,0,0,447,0,0,496,0,0,409,0,201,0,61,0,23,0,3413,0
2020-03-28,432,0,0,908,0,0,645,0,0,501,0,0,559,0,0,460,0,225,0,71,0,26,0,3827,0
2020-03-29,530,0,0,1048,0,0,724,0,0,583,0,0,635,0,0,527,0,260,0,97,0,39,0,4443,0
2020-03-30,628,0,0,1188,0,0,803,0,0,665,0,0,711,0,0,594,0,295,0,123,0,51,0,5058,0
2020-03-31,726,0,0,1328,0,0,882,0,0,747,0,0,787,0,0,661,0,330,0,148,0,63,0,5672,0
2020-04-01,824,0,0,1467,0,0,961,0,0,829,0,0,863,0,0,728,0,365,0,173,0,75,0,6285,0
2020-04-02,922,0,0,1606,0,0,1040,0,0,910,0,0,939,0,0,795,0,400,0,198,0,87,0,6897,0
2020-04-03,1019,0,0,1745,0,0,1119,0,0,991,0,0,1015,0,0,861,0,435,0,223,0,99,0,7507,0
2020-04-04,1116,0,0,1884,0,0,1198,0,0,1072,0,0,1090,0,0,927,0,470,0,248,0,111,0,8116,0
2020-04-05,1205,0,0,1976,0,0,1245,0,0,1119,0,0,1136,0,0,961,0,489,0,269,4,121,0,8521,4
2020-04-06,1294,0,0,2068,0,0,1292,0,0,1166,0,0,1182,0,0,995,0,508,0,290,8,131,0,8926,8
2020-04-07,1383,0,0,2160,0,0,1339,0,0,1213,0,0,1227,0,0,1029,0,527,0,311,12,141,0,9330,12
2020-04-08,1472,0,0,2252,0,0,1386,0,0,1260,0,0,1272,0,0,1062,0,546,0,332,16,151,0,9733,16
2020-04-09,1561,0,0,2344,0,0,1433,0,0,1307,0,0,1317,0,0,1095,0,564,0,352,19,161,0,10134,19
2020-04-10,1650,0,0,2435,0,0,1480,0,0,1354,0,0,1362,0,0,1128,0,582,0,372,22,170,0,10533,22
2020-04-11,1738,0,0,2526,0,0,1527,0,0,1401,0,0,1407,0,0,1161,0,600,0,392,25,179,0,10931,25
2020-04-12,1840,0,0,2605,0,0,1570,0,0,1444,0,0,1445,0,0,1185,0,617,0,410,32,194,0,11310,32
2020-04-13,1941,0,0,2683,0,0,1613,0,0,1486,0,0,1483,0,0,1209,0,634,0,428,39,209,0,11686,39
2020-04-14,2042,0,0,2761,0,0,1655,0,0,1528,0,0,1521,0,0,1233,0,651,0,446,45,224,0,12061,45
2020-04-15,2143,0,0,2839,0,0,1697,0,0,1570,0,0,1559,0,0,1257,0,667,0,464,51,239,0,12435,51
2020-04-16,2244,0,0,2917,0,0,1739,0,0,1612,0,0,1596,0,0,1280,0,683,0,482,57,253,0,12806,57
2020-04-17,2345,0,0,2995,0,0,1781,0,0,1654,0,0,1633,0,0,1303,0,699,0,500,63,267,0,13177,63
2020-04-18,2446,0,0,3073,0,0,1823,0,0,1696,0,0,1670,0,0,1326,0,715,0,517,69,281,0,13547,69
2020-04-19,2537,0,0,3130,0,0,1850,0,0,1722,0,0,1690,0,0,1335,0,720,0,527,69,291,0,13802,69
2020-04-20,2628,0,0,3187,0,0,1877,0,0,1747,0,0,1710,0,0,1344,0,725,0,537,69,301,0,14056,69
2020-04-21,2719,0,0,3243,0,0,1904,0,0,1772,0,0,1730,0,0,1353,0,729,0,546,69,311,0,14307,69
2020-04-22,2810,0,0,3299,0,0,1931,0,0,1797,0,0,1750,0,0,1362,0,733,0,555,69,321,0,14558,69
2020-04-23,2901,0,0,3355,0,0,1957,0,0,1822,0,0,1770,0,0,1371,0,737,0,564,69,331,0,14808,69
2020-04-24,2992,0,0,3411,0,0,1983,0,0,1847,0,0,1790,0,0,1379,0,741,0,573,69,340,0,15056,69
2020-04-25,3082,0,0,3467,0,0,2009,0,0,1872,0,0,1809,0,0,1387,0,745,0,582,69,349,0,15302,69
2020-04-26,3123,0,0,3492,0,0,2022,0,0,1880,0,0,1812,0,0,1387,0,745,0,585,72,357,0,15403,72
2020-04-27,3163,0,0,3517,0,0,2035,0,0,1887,0,0,1815,0,0,1387,0,745,0,588,74,365,0,15502,74
