date,mb-pt,mb-dt,mb-hd,mb-hc,mb-ht,mb-id,mb-ic,mb-it,ie-pt,ie-dt,ie-hd,ie-hc,ie-ht,ie-id,ie-ic,ie-it,no-pt,no-dt,no-hd,no-hc,no-ht,no-id,no-ic,no-it,pm-pt,pm-dt,pm-hd,pm-hc,pm-ht,pm-id,pm-ic,pm-it,sh-pt,sh-dt,sh-hd,sh-hc,sh-ht,sh-id,sh-ic,sh-it,wg-pt,wg-dt,wg-hd,wg-hc,wg-ht,wg-id,wg-ic,wg-it
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0
2020-03-14,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0
2020-03-15,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0
2020-03-16,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0
2020-03-17,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0
2020-03-18,14,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,11,0,0,0,1,0,0,0
2020-03-19,15,0,1,1,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0
2020-03-20,16,0,1,1,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0
2020-03-21,16,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0
2020-03-22,17,0,1,1,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,14,0,1,0,2,0,0,0
2020-03-23,20,0,1,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,17,0,1,0,3,0,0,0
2020-03-24,21,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,17,0,0,0,3,0,0,0
2020-03-25,27,0,0,1,6,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,22,0,0,1,3,1,1,1
2020-03-26,36,1,1,0,7,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,28,1,1,0,4,0,1,1
2020-03-27,63,1,1,2,8,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,54,1,1,2,5,1,1,2
2020-03-28,73,1,1,2,9,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,58,1,1,2,6,0,1,2
2020-03-29,96,1,0,4,9,0,1,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,76,1,0,4,6,0,1,2
2020-03-30,105,1,1,3,10,0,1,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,85,1,1,3,7,0,1,2
2020-03-31,132,1,1,4,11,2,3,4,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,108,1,1,4,8,2,3,4
2020-04-01,165,1,2,6,13,1,4,5,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,15,0,1,0,2,0,0,0,130,1,1,6,9,1,4,5
2020-04-02,181,2,1,9,14,2,6,7,9,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,19,0,0,1,2,0,0,0,140,2,0,7,9,2,6,7
