date,AK-pt,AK-dt,AL-pt,AL-dt,AR-pt,AR-dt,AS-pt,AS-dt,AZ-pt,AZ-dt,CA-pt,CA-dt,CO-pt,CO-dt,CT-pt,CT-dt,DC-pt,DC-dt,DE-pt,DE-dt,FL-pt,FL-dt,GA-pt,GA-dt,GU-pt,GU-dt,HI-pt,HI-dt,IA-pt,IA-dt,ID-pt,ID-dt,IL-pt,IL-dt,IN-pt,IN-dt,KS-pt,KS-dt,KY-pt,KY-dt,LA-pt,LA-dt,MA-pt,MA-dt,MD-pt,MD-dt,ME-pt,ME-dt,MI-pt,MI-dt,MN-pt,MN-dt,MO-pt,MO-dt,MP-pt,MP-dt,MS-pt,MS-dt,MT-pt,MT-dt,NC-pt,NC-dt,ND-pt,ND-dt,NE-pt,NE-dt,NH-pt,NH-dt,NJ-pt,NJ-dt,NM-pt,NM-dt,NV-pt,NV-dt,NY-pt,NY-dt,OH-pt,OH-dt,OK-pt,OK-dt,OR-pt,OR-dt,PA-pt,PA-dt,PR-pt,PR-dt,RI-pt,RI-dt,SC-pt,SC-dt,SD-pt,SD-dt,TN-pt,TN-dt,TX-pt,TX-dt,UT-pt,UT-dt,VA-pt,VA-dt,VI-pt,VI-dt,VT-pt,VT-dt,WA-pt,WA-dt,WI-pt,WI-dt,WV-pt,WV-dt,WY-pt,WY-dt
2020-03-01,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,17,3,1,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,23,6,1,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,32,10,1,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,2,0,55,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,2,0,1,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,47,11,1,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,2,0,67,1,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,2,0,2,0,0,0,2,0,22,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,16,0,1,0,0,0,0,0,0,0,75,11,1,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,3,0,81,1,8,0,0,0,0,0,0,0,7,2,3,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,8,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,2,0,4,0,0,0,2,0,44,0,0,0,1,0,2,0,2,0,0,0,3,0,2,0,0,0,1,0,19,0,3,0,0,0,0,0,0,0,86,12,1,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,5,0,100,1,8,0,0,0,1,0,0,0,12,2,7,0,0,0,1,0,0,0,0,0,6,0,1,0,1,0,1,0,0,0,13,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,14,0,4,0,4,0,0,0,2,0,89,0,0,0,1,0,6,0,4,0,0,0,3,0,2,0,0,0,1,0,19,0,3,0,1,0,0,0,1,0,110,16,1,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,5,0,112,1,8,0,1,0,1,0,0,0,13,2,11,0,0,0,2,0,3,0,0,0,7,0,2,0,1,0,4,0,0,0,28,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,16,0,4,0,6,0,0,0,4,0,106,0,0,0,1,0,13,0,6,0,0,0,3,0,6,0,0,0,3,0,23,0,3,0,2,0,0,0,1,0,141,19,1,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,6,0,172,2,12,0,2,0,4,0,0,0,14,2,17,0,0,0,2,0,8,0,0,0,11,0,4,0,1,0,5,0,1,0,41,0,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7,0,0,0,16,0,4,0,11,0,0,0,4,0,142,0,3,0,1,0,13,0,10,0,0,0,3,0,7,0,0,0,4,0,24,0,3,0,5,0,0,0,1,0,179,22,2,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,6,0,179,3,17,0,2,0,4,0,0,0,23,2,22,0,0,0,2,0,13,0,0,0,19,0,6,0,1,0,7,0,6,0,92,0,9,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,7,0,0,0,17,0,5,0,15,1,0,0,4,0,173,0,3,0,2,0,14,0,12,0,0,0,5,0,9,0,5,1,7,0,31,0,4,0,8,0,0,0,1,0,279,24,3,0,0,0,0,0
2020-03-11,0,0,0,0,1,0,0,0,9,0,202,4,34,0,3,0,10,0,1,0,26,2,31,0,0,0,2,0,14,0,0,0,25,0,11,0,1,0,7,0,13,0,95,0,13,0,0,0,2,0,5,0,1,0,0,0,1,0,0,0,8,0,1,0,23,0,5,0,23,1,4,0,7,0,217,0,4,0,2,0,20,0,16,0,0,0,5,0,10,0,8,1,8,0,33,0,5,0,10,0,0,0,2,0,338,29,6,0,0,0,1,0
2020-03-12,1,0,0,0,6,0,0,0,9,0,252,4,49,1,6,0,10,0,4,0,46,2,31,1,0,0,2,0,16,0,0,0,32,0,12,0,5,1,11,0,14,0,108,0,13,0,1,0,12,0,9,0,2,0,0,0,1,0,0,0,16,0,1,0,24,0,6,0,29,1,6,0,11,0,326,0,5,0,2,0,30,0,22,0,0,0,5,0,12,0,8,1,18,0,41,0,7,0,17,0,0,0,2,0,419,32,8,0,0,0,1,0
2020-03-13,1,0,6,0,7,0,0,0,9,0,320,5,78,2,11,0,10,0,4,0,70,2,41,1,0,0,2,0,17,0,1,0,46,0,12,0,6,1,11,0,36,0,123,0,18,0,2,0,25,0,14,0,4,0,0,0,6,0,4,0,18,0,1,0,27,0,7,0,50,1,10,0,19,0,421,0,13,0,3,0,30,0,41,0,3,0,20,0,13,0,9,1,26,0,58,0,7,0,30,0,0,0,2,0,511,37,19,0,0,0,2,0
2020-03-14,1,0,12,0,9,0,0,0,12,0,381,5,103,2,20,0,16,0,4,0,70,3,65,1,0,0,4,0,18,0,5,0,66,0,15,0,8,1,18,0,77,1,138,0,27,0,3,0,33,0,21,0,5,0,0,0,6,0,6,0,25,0,1,0,29,0,7,0,75,2,13,0,21,0,610,2,26,0,4,0,36,1,47,0,4,0,20,0,19,0,9,1,32,0,69,0,21,0,42,1,1,0,5,0,609,40,27,0,0,0,3,0
2020-03-15,1,0,23,0,16,0,0,0,13,0,478,6,136,2,26,0,17,0,7,0,109,3,97,1,3,0,7,0,22,0,5,0,94,0,19,0,9,1,21,0,103,2,164,0,32,0,12,0,53,0,35,0,5,0,0,0,10,0,6,0,32,0,1,0,31,0,13,0,98,2,17,0,26,0,732,6,37,0,8,0,39,1,68,0,5,0,20,0,28,0,9,1,39,0,80,0,29,0,45,1,1,0,8,0,675,42,33,0,0,0,3,0
2020-03-16,3,0,29,0,22,0,0,0,18,0,588,11,161,2,41,0,22,0,8,0,141,4,118,1,3,0,10,0,22,0,5,0,104,0,24,1,11,1,22,1,137,3,197,0,39,0,17,0,54,0,54,0,9,0,0,0,12,0,8,0,34,0,1,0,33,0,17,0,176,3,21,0,45,1,950,10,50,0,10,0,46,1,81,0,5,0,21,0,33,1,10,1,52,0,87,1,40,0,51,1,2,0,12,0,794,48,47,0,0,0,10,0
2020-03-17,6,0,39,0,22,0,0,0,20,0,732,14,183,3,68,0,31,0,16,0,210,6,142,1,3,0,14,0,29,0,9,0,159,1,30,2,17,1,26,1,196,5,218,0,57,0,32,0,65,0,60,0,16,0,0,0,21,0,8,0,42,0,5,0,36,0,26,0,268,3,23,0,55,1,1375,18,67,0,18,0,66,2,101,0,5,0,23,0,47,1,11,1,73,0,106,1,51,0,67,2,2,0,14,0,908,54,72,0,1,0,15,0
2020-03-18,9,0,51,0,33,0,0,0,28,0,893,17,216,3,96,1,36,0,26,0,326,7,193,3,8,0,16,0,38,0,11,0,286,1,39,2,22,1,35,1,280,7,256,0,85,1,43,0,80,1,77,0,21,1,0,0,34,0,12,0,66,0,7,0,43,0,39,0,427,5,28,0,82,1,2387,32,90,0,29,0,74,3,139,1,5,0,33,0,60,1,11,1,98,0,166,2,65,0,78,2,3,0,19,0,1026,68,106,0,2,0,17,0
2020-03-19,12,0,78,0,62,0,0,0,47,0,1067,19,278,5,159,4,39,0,30,0,434,8,282,10,12,0,26,0,44,0,23,0,420,4,56,2,35,1,47,2,392,10,328,0,108,1,52,0,334,3,89,0,35,1,0,0,50,1,19,0,104,0,19,0,47,0,44,0,735,9,35,0,99,1,4161,39,120,0,44,1,87,3,187,1,6,0,44,0,81,1,14,1,155,0,248,4,80,0,94,2,3,0,22,2,1228,75,155,2,5,0,18,0
2020-03-20,14,0,106,0,100,0,0,0,70,1,1283,24,364,5,194,4,71,0,39,0,564,9,482,14,14,0,37,0,45,0,31,0,583,5,81,5,49,1,63,2,537,10,413,1,150,2,57,0,548,4,115,0,73,3,0,0,80,1,19,0,144,0,27,0,53,0,55,0,896,11,43,0,165,2,7113,68,169,1,49,1,114,3,269,1,14,0,44,0,126,3,14,1,237,0,386,5,112,0,115,2,6,0,29,2,1404,83,216,3,8,0,22,0
2020-03-21,21,0,131,0,118,0,0,0,104,1,1544,28,475,6,223,5,77,1,45,0,764,11,552,20,15,0,48,0,68,0,42,0,751,6,128,6,57,2,84,3,763,16,525,2,195,3,70,0,787,6,138,1,93,3,0,0,140,1,29,0,184,0,28,0,61,0,65,0,1336,16,57,0,165,2,10371,95,247,3,53,1,137,4,388,2,21,1,66,0,172,3,14,1,312,2,547,5,138,0,152,3,6,0,49,2,1655,95,281,4,12,0,24,0
2020-03-22,22,0,157,0,165,0,0,0,153,2,1851,35,591,7,327,8,98,1,56,0,1000,13,620,25,27,1,56,0,90,0,47,0,1047,9,204,9,66,2,103,3,837,20,646,5,245,3,89,0,1033,9,171,1,130,3,0,0,207,1,34,0,269,0,30,0,62,0,78,0,1914,20,65,0,190,2,15188,142,351,3,67,2,161,5,504,3,23,1,83,0,194,3,21,1,424,2,639,7,182,1,219,6,17,0,52,2,1844,97,382,4,16,0,26,0
